"ensembl_gene_id"	"description"	"uniprot_gn_symbol"
"574"	"ENSMUSG00000020390"	"ubiquitin-conjugating enzyme E2B [Source:MGI Symbol;Acc:MGI:102944]"	"Ube2b"
"575"	"ENSMUSG00000020393"	"kringle containing transmembrane protein 1 [Source:MGI Symbol;Acc:MGI:1933988]"	"Kremen1"
"576"	"ENSMUSG00000020397"	"mediator complex subunit 7 [Source:MGI Symbol;Acc:MGI:1913463]"	"Med7"
"577"	"ENSMUSG00000020400"	"TNFAIP3 interacting protein 1 [Source:MGI Symbol;Acc:MGI:1926194]"	"Tnip1"
"578"	"ENSMUSG00000020402"	"voltage-dependent anion channel 1 [Source:MGI Symbol;Acc:MGI:106919]"	"Vdac1"
"579"	"ENSMUSG00000020413"	"HUS1 checkpoint clamp component [Source:MGI Symbol;Acc:MGI:1277962]"	""
"580"	"ENSMUSG00000020422"	"tensin 3 [Source:MGI Symbol;Acc:MGI:2443012]"	"Tns3"
"581"	"ENSMUSG00000020423"	"BTG anti-proliferation factor 2 [Source:MGI Symbol;Acc:MGI:108384]"	"Btg2"
"582"	"ENSMUSG00000020427"	"insulin-like growth factor binding protein 3 [Source:MGI Symbol;Acc:MGI:96438]"	"Igfbp3"
"583"	"ENSMUSG00000020431"	"adenylate cyclase 1 [Source:MGI Symbol;Acc:MGI:99677]"	"Adcy1"
"584"	"ENSMUSG00000020444"	"guanylate kinase 1 [Source:MGI Symbol;Acc:MGI:95871]"	"Guk1"
"585"	"ENSMUSG00000020451"	"LIM motif-containing protein kinase 2 [Source:MGI Symbol;Acc:MGI:1197517]"	"Limk2"
"586"	"ENSMUSG00000020453"	"POZ (BTB) and AT hook containing zinc finger 1 [Source:MGI Symbol;Acc:MGI:1891832]"	"Patz1"
"587"	"ENSMUSG00000020455"	"tripartite motif-containing 11 [Source:MGI Symbol;Acc:MGI:2137355]"	"Trim11"
"588"	"ENSMUSG00000020471"	"polymerase (DNA directed), delta 2, regulatory subunit [Source:MGI Symbol;Acc:MGI:1097163]"	"Pold2"
"589"	"ENSMUSG00000020483"	"dynein light chain LC8-type 2 [Source:MGI Symbol;Acc:MGI:1915347]"	"Dynll2"
"590"	"ENSMUSG00000020484"	"X-box binding protein 1 [Source:MGI Symbol;Acc:MGI:98970]"	"Xbp1"
"591"	"ENSMUSG00000020485"	"SPT4A, DSIF elongation factor subunit [Source:MGI Symbol;Acc:MGI:107416]"	"Supt4a"
"592"	"ENSMUSG00000020485"	"SPT4A, DSIF elongation factor subunit [Source:MGI Symbol;Acc:MGI:107416]"	"Supt4h1a"
"593"	"ENSMUSG00000020486"	"septin 4 [Source:MGI Symbol;Acc:MGI:1270156]"	"Septin4"
"594"	"ENSMUSG00000020492"	"spindle and kinetochore associated complex subunit 2 [Source:MGI Symbol;Acc:MGI:1913390]"	"Ska2"
"595"	"ENSMUSG00000020493"	"proline rich 11 [Source:MGI Symbol;Acc:MGI:2444496]"	"Prr11"
"596"	"ENSMUSG00000020519"	"SAP30-like [Source:MGI Symbol;Acc:MGI:1354709]"	"Sap30l"
"597"	"ENSMUSG00000020521"	"ring finger protein, transmembrane 1 [Source:MGI Symbol;Acc:MGI:1924142]"	"Rnft1"
"598"	"ENSMUSG00000020532"	"acetyl-Coenzyme A carboxylase alpha [Source:MGI Symbol;Acc:MGI:108451]"	"Acaca"
"599"	"ENSMUSG00000020534"	"serine hydroxymethyltransferase 1 (soluble) [Source:MGI Symbol;Acc:MGI:98299]"	"Shmt1"
"600"	"ENSMUSG00000020538"	"sterol regulatory element binding transcription factor 1 [Source:MGI Symbol;Acc:MGI:107606]"	"Srebf1"
"601"	"ENSMUSG00000020546"	"syntaxin binding protein 4 [Source:MGI Symbol;Acc:MGI:1342296]"	"Stxbp4"
"602"	"ENSMUSG00000020547"	"basic leucine zipper and W2 domains 2 [Source:MGI Symbol;Acc:MGI:1914162]"	"Bzw2"
"603"	"ENSMUSG00000020564"	"ataxin 7-like 1 [Source:MGI Symbol;Acc:MGI:3584458]"	"Atxn7l1"
"604"	"ENSMUSG00000020571"	"protein disulfide isomerase associated 6 [Source:MGI Symbol;Acc:MGI:1919103]"	"Pdia6"
"605"	"ENSMUSG00000020576"	"neuroblastoma amplified sequence [Source:MGI Symbol;Acc:MGI:1918419]"	"Nbas"
"606"	"ENSMUSG00000020580"	"Rho-associated coiled-coil containing protein kinase 2 [Source:MGI Symbol;Acc:MGI:107926]"	"Rock2"
"607"	"ENSMUSG00000020592"	"syndecan 1 [Source:MGI Symbol;Acc:MGI:1349162]"	"Sdc1"
"608"	"ENSMUSG00000020593"	"lipin 1 [Source:MGI Symbol;Acc:MGI:1891340]"	"Lpin1"
"609"	"ENSMUSG00000020608"	"structural maintenance of chromosomes 6 [Source:MGI Symbol;Acc:MGI:1914491]"	"Smc6"
"610"	"ENSMUSG00000020611"	"guanine nucleotide binding protein, alpha 13 [Source:MGI Symbol;Acc:MGI:95768]"	"Gna13"
"611"	"ENSMUSG00000020620"	"ATP-binding cassette, sub-family A (ABC1), member 8b [Source:MGI Symbol;Acc:MGI:1351668]"	"Abca8b"
"612"	"ENSMUSG00000020623"	"mitogen-activated protein kinase kinase 6 [Source:MGI Symbol;Acc:MGI:1346870]"	"Map2k6"
"613"	"ENSMUSG00000020629"	"acireductone dioxygenase 1 [Source:MGI Symbol;Acc:MGI:2144929]"	"Adi1"
"614"	"ENSMUSG00000020634"	"UBX domain protein 2A [Source:MGI Symbol;Acc:MGI:2442310]"	"Ubxn2a"
"615"	"ENSMUSG00000020647"	"nuclear receptor coactivator 1 [Source:MGI Symbol;Acc:MGI:1276523]"	"Ncoa1"
"616"	"ENSMUSG00000020653"	"Kruppel-like factor 11 [Source:MGI Symbol;Acc:MGI:2653368]"	"Klf11"
"617"	"ENSMUSG00000020661"	"DNA methyltransferase 3A [Source:MGI Symbol;Acc:MGI:1261827]"	"Dnmt3a"
"618"	"ENSMUSG00000020664"	"dihydrolipoamide dehydrogenase [Source:MGI Symbol;Acc:MGI:107450]"	"Dld"
"619"	"ENSMUSG00000020669"	"Sh3 domain YSC-like 1 [Source:MGI Symbol;Acc:MGI:1346118]"	"Sh3yl1"
"620"	"ENSMUSG00000020674"	"peroxidasin [Source:MGI Symbol;Acc:MGI:1916925]"	"Pxdn"
"621"	"ENSMUSG00000020681"	"angiotensin I converting enzyme (peptidyl-dipeptidase A) 1 [Source:MGI Symbol;Acc:MGI:87874]"	"Ace"
"622"	"ENSMUSG00000020687"	"cell division cycle 27 [Source:MGI Symbol;Acc:MGI:102685]"	"Cdc27"
"623"	"ENSMUSG00000020701"	"transmembrane protein 132E [Source:MGI Symbol;Acc:MGI:2685490]"	"Tmem132e"
"624"	"ENSMUSG00000020717"	"platelet/endothelial cell adhesion molecule 1 [Source:MGI Symbol;Acc:MGI:97537]"	"Pecam1"
"625"	"ENSMUSG00000020737"	"Jupiter microtubule associated homolog 1 [Source:MGI Symbol;Acc:MGI:1096361]"	"Jpt1"
"626"	"ENSMUSG00000020739"	"nucleoporin 85 [Source:MGI Symbol;Acc:MGI:3046173]"	"Nup85"
"627"	"ENSMUSG00000020743"	"MIF4G domain containing [Source:MGI Symbol;Acc:MGI:1916924]"	"Mif4gd"
"628"	"ENSMUSG00000020758"	"integrin beta 4 [Source:MGI Symbol;Acc:MGI:96613]"	"Itgb4"
"629"	"ENSMUSG00000020766"	"galactokinase 1 [Source:MGI Symbol;Acc:MGI:95730]"	"Galk1"
"630"	"ENSMUSG00000020773"	"tripartite motif-containing 47 [Source:MGI Symbol;Acc:MGI:1917374]"	"Trim47"
"631"	"ENSMUSG00000020780"	"signal recognition particle 68 [Source:MGI Symbol;Acc:MGI:1917447]"	"Srp68"
"632"	"ENSMUSG00000020781"	"tRNA splicing endonuclease subunit 54 [Source:MGI Symbol;Acc:MGI:1923515]"	"Tsen54"
"633"	"ENSMUSG00000020782"	"LLGL2 scribble cell polarity complex component [Source:MGI Symbol;Acc:MGI:1918843]"	"Llgl2"
"634"	"ENSMUSG00000020783"	"nuclear cap binding subunit 3 [Source:MGI Symbol;Acc:MGI:1914124]"	"Ncbp3"
"635"	"ENSMUSG00000020808"	"PICALM interacting mitotic regulator [Source:MGI Symbol;Acc:MGI:1924434]"	"Pimreg"
"636"	"ENSMUSG00000020829"	"solute carrier family 46, member 1 [Source:MGI Symbol;Acc:MGI:1098733]"	"Slc46a1"
"637"	"ENSMUSG00000020840"	"bleomycin hydrolase [Source:MGI Symbol;Acc:MGI:1345186]"	"Blmh"
"638"	"ENSMUSG00000020844"	"nucleoredoxin [Source:MGI Symbol;Acc:MGI:109331]"	"Nxn"
"639"	"ENSMUSG00000020847"	"rabphilin 3A-like (without C2 domains) [Source:MGI Symbol;Acc:MGI:1923492]"	"Rph3al"
"640"	"ENSMUSG00000020848"	"double C2, beta [Source:MGI Symbol;Acc:MGI:1100497]"	"Doc2b"
"641"	"ENSMUSG00000020869"	"leucine rich repeat containing 59 [Source:MGI Symbol;Acc:MGI:2138133]"	"Lrrc59"
"642"	"ENSMUSG00000020883"	"F-box and leucine-rich repeat protein 20 [Source:MGI Symbol;Acc:MGI:1919444]"	"Fbxl20"
"643"	"ENSMUSG00000020888"	"dishevelled segment polarity protein 2 [Source:MGI Symbol;Acc:MGI:106613]"	"Dvl2"
"644"	"ENSMUSG00000020893"	"period circadian clock 1 [Source:MGI Symbol;Acc:MGI:1098283]"	"Per1"
"645"	"ENSMUSG00000020897"	"aurora kinase B [Source:MGI Symbol;Acc:MGI:107168]"	"Aurkb"
"646"	"ENSMUSG00000020898"	"CTS telomere maintenance complex component 1 [Source:MGI Symbol;Acc:MGI:1916214]"	"Ctc1"
"647"	"ENSMUSG00000020911"	"keratin 19 [Source:MGI Symbol;Acc:MGI:96693]"	"Krt19"
"648"	"ENSMUSG00000020914"	"topoisomerase (DNA) II alpha [Source:MGI Symbol;Acc:MGI:98790]"	"Top2a"
"649"	"ENSMUSG00000020917"	"ATP citrate lyase [Source:MGI Symbol;Acc:MGI:103251]"	"Acly"
"650"	"ENSMUSG00000020929"	"elongation factor Tu GTP binding domain containing 2 [Source:MGI Symbol;Acc:MGI:1336880]"	"Eftud2"
"651"	"ENSMUSG00000020935"	"dephospho-CoA kinase domain containing [Source:MGI Symbol;Acc:MGI:1915337]"	"Dcakd"
"652"	"ENSMUSG00000020949"	"FK506 binding protein 3 [Source:MGI Symbol;Acc:MGI:1353460]"	"Fkbp3"
"653"	"ENSMUSG00000020952"	"Sec1 family domain containing 1 [Source:MGI Symbol;Acc:MGI:1924233]"	"Scfd1"
"654"	"ENSMUSG00000020986"	"SEC23 homolog A, COPII coat complex component [Source:MGI Symbol;Acc:MGI:1349635]"	"Sec23a"
"655"	"ENSMUSG00000020994"	"pinin [Source:MGI Symbol;Acc:MGI:1100514]"	"Pnn"
"656"	"ENSMUSG00000021003"	"galactosylceramidase [Source:MGI Symbol;Acc:MGI:95636]"	"Galc"
"657"	"ENSMUSG00000021025"	"nuclear factor of kappa light polypeptide gene enhancer in B cells inhibitor, alpha [Source:MGI Symbol;Acc:MGI:104741]"	"Nfkbia"
"658"	"ENSMUSG00000021033"	"glutathione transferase zeta 1 (maleylacetoacetate isomerase) [Source:MGI Symbol;Acc:MGI:1341859]"	"Gstz1"
"659"	"ENSMUSG00000021036"	"serine palmitoyltransferase, long chain base subunit 2 [Source:MGI Symbol;Acc:MGI:108074]"	"Sptlc2"
"660"	"ENSMUSG00000021040"	"SRA stem-loop interacting RNA binding protein [Source:MGI Symbol;Acc:MGI:1916394]"	"Slirp"
"661"	"ENSMUSG00000021048"	"methylenetetrahydrofolate dehydrogenase (NADP+ dependent), methenyltetrahydrofolate cyclohydrolase, formyltetrahydrofolate synthase [Source:MGI Symbol;Acc:MGI:1342005]"	"Mthfd1"
"662"	"ENSMUSG00000021062"	"RAB15, member RAS oncogene family [Source:MGI Symbol;Acc:MGI:1916865]"	"Rab15"
"663"	"ENSMUSG00000021065"	"fucosyltransferase 8 [Source:MGI Symbol;Acc:MGI:1858901]"	"Fut8"
"664"	"ENSMUSG00000021067"	"salvador family WW domain containing 1 [Source:MGI Symbol;Acc:MGI:1927144]"	"Sav1"
"665"	"ENSMUSG00000021079"	"translocase of inner mitochondrial membrane 9 [Source:MGI Symbol;Acc:MGI:1353436]"	"Timm9"
"666"	"ENSMUSG00000021091"	"serine (or cysteine) peptidase inhibitor, clade A, member 3N [Source:MGI Symbol;Acc:MGI:105045]"	"Serpina3n"
"667"	"ENSMUSG00000021102"	"glutaredoxin 5 [Source:MGI Symbol;Acc:MGI:1920296]"	"Glrx5"
"668"	"ENSMUSG00000021115"	"vaccinia related kinase 1 [Source:MGI Symbol;Acc:MGI:1261847]"	"Vrk1"
"669"	"ENSMUSG00000021120"	"phosphatidylinositol glycan anchor biosynthesis, class H [Source:MGI Symbol;Acc:MGI:99463]"	"Pigh"
"670"	"ENSMUSG00000021125"	"arginase type II [Source:MGI Symbol;Acc:MGI:1330806]"	"Arg2"
"671"	"ENSMUSG00000021131"	"ERH mRNA splicing and mitosis factor [Source:MGI Symbol;Acc:MGI:108089]"	"Erh"
"672"	"ENSMUSG00000021133"	"sushi domain containing 6 [Source:MGI Symbol;Acc:MGI:2444661]"	"Susd6"
"673"	"ENSMUSG00000021136"	"SPARC related  modular calcium binding 1 [Source:MGI Symbol;Acc:MGI:1929878]"	"Smoc1"
"674"	"ENSMUSG00000021171"	"extended synaptotagmin-like protein 2 [Source:MGI Symbol;Acc:MGI:1261845]"	"Esyt2"
"675"	"ENSMUSG00000021177"	"tyrosyl-DNA phosphodiesterase 1 [Source:MGI Symbol;Acc:MGI:1920036]"	"Tdp1"
"676"	"ENSMUSG00000021193"	"pitrilysin metallepetidase 1 [Source:MGI Symbol;Acc:MGI:1916867]"	"Pitrm1"
"677"	"ENSMUSG00000021238"	"aldehyde dehydrogenase family 6, subfamily A1 [Source:MGI Symbol;Acc:MGI:1915077]"	"Aldh6a1"
"678"	"ENSMUSG00000021241"	"iron-sulfur cluster assembly 2 [Source:MGI Symbol;Acc:MGI:1921566]"	"Isca2"
"679"	"ENSMUSG00000021244"	"YLP motif containing 1 [Source:MGI Symbol;Acc:MGI:1926195]"	"Ylpm1"
"680"	"ENSMUSG00000021250"	"FBJ osteosarcoma oncogene [Source:MGI Symbol;Acc:MGI:95574]"	"Fos"
"681"	"ENSMUSG00000021252"	"ergosterol biosynthesis 28 [Source:MGI Symbol;Acc:MGI:1915571]"	"Erg28"
"682"	"ENSMUSG00000021262"	"Ena-vasodilator stimulated phosphoprotein [Source:MGI Symbol;Acc:MGI:1194884]"	"Evl"
"683"	"ENSMUSG00000021288"	"kinesin light chain 1 [Source:MGI Symbol;Acc:MGI:107978]"	"Klc1"
"684"	"ENSMUSG00000021303"	"guanine nucleotide binding protein (G protein), gamma 4 [Source:MGI Symbol;Acc:MGI:102703]"	"Gng4"
"685"	"ENSMUSG00000021306"	"G protein-coupled receptor 137B [Source:MGI Symbol;Acc:MGI:1891463]"	"Gpr137b"
"686"	"ENSMUSG00000021318"	"GLI-Kruppel family member GLI3 [Source:MGI Symbol;Acc:MGI:95729]"	"Gli3"
"687"	"ENSMUSG00000021360"	"glucosaminyl (N-acetyl) transferase 2, I-branching enzyme [Source:MGI Symbol;Acc:MGI:1100870]"	"Gcnt2"
"688"	"ENSMUSG00000021364"	"elongation of very long chain fatty acids (FEN1/Elo2, SUR4/Elo3, yeast)-like 2 [Source:MGI Symbol;Acc:MGI:1858960]"	"Elovl2"
"689"	"ENSMUSG00000021366"	"human immunodeficiency virus type I enhancer binding protein 1 [Source:MGI Symbol;Acc:MGI:96100]"	"Hivep1"
"690"	"ENSMUSG00000021371"	"mitochondrial calcium uniporter regulator 1 [Source:MGI Symbol;Acc:MGI:1923387]"	"Mcur1"
"691"	"ENSMUSG00000021374"	"nucleoporin 153 [Source:MGI Symbol;Acc:MGI:2385621]"	"Nup153"
"692"	"ENSMUSG00000021377"	"DEK proto-oncogene (DNA binding) [Source:MGI Symbol;Acc:MGI:1926209]"	"Dek"
"693"	"ENSMUSG00000021385"	"inositol 1,3,4,5,6-pentakisphosphate 2-kinase [Source:MGI Symbol;Acc:MGI:1922928]"	"Ippk"
"694"	"ENSMUSG00000021390"	"osteoglycin [Source:MGI Symbol;Acc:MGI:109278]"	"Ogn"
"695"	"ENSMUSG00000021403"	"serine (or cysteine) peptidase inhibitor, clade B, member 9b [Source:MGI Symbol;Acc:MGI:894668]"	"Serpinb9b"
"696"	"ENSMUSG00000021413"	"pre-mRNA processing factor 4B [Source:MGI Symbol;Acc:MGI:109584]"	"Prpf4b"
"697"	"ENSMUSG00000021427"	"signal sequence receptor, alpha [Source:MGI Symbol;Acc:MGI:105082]"	"Ssr1"
"698"	"ENSMUSG00000021453"	"growth arrest and DNA-damage-inducible 45 gamma [Source:MGI Symbol;Acc:MGI:1346325]"	"Gadd45g"
"699"	"ENSMUSG00000021457"	"spleen tyrosine kinase [Source:MGI Symbol;Acc:MGI:99515]"	"Syk"
"700"	"ENSMUSG00000021458"	"aminopeptidase O [Source:MGI Symbol;Acc:MGI:1919311]"	"Aopep"
"701"	"ENSMUSG00000021466"	"patched 1 [Source:MGI Symbol;Acc:MGI:105373]"	"Ptch1"
"702"	"ENSMUSG00000021470"	"excision repair cross-complementing rodent repair deficiency, complementation group 6 like 2 [Source:MGI Symbol;Acc:MGI:1923501]"	"Ercc6l2"
"703"	"ENSMUSG00000021474"	"sideroflexin 1 [Source:MGI Symbol;Acc:MGI:2137677]"	"Sfxn1"
"704"	"ENSMUSG00000021488"	"nuclear receptor-binding SET-domain protein 1 [Source:MGI Symbol;Acc:MGI:1276545]"	"Nsd1"
"705"	"ENSMUSG00000021495"	"family with sequence similarity 193, member B [Source:MGI Symbol;Acc:MGI:2385851]"	"Fam193b"
"706"	"ENSMUSG00000021506"	"paired-like homeodomain transcription factor 1 [Source:MGI Symbol;Acc:MGI:107374]"	"Pitx1"
"707"	"ENSMUSG00000021540"	"SMAD family member 5 [Source:MGI Symbol;Acc:MGI:1328787]"	"Smad5"
"708"	"ENSMUSG00000021548"	"cyclin H [Source:MGI Symbol;Acc:MGI:1913921]"	"Ccnh"
"709"	"ENSMUSG00000021550"	"RIKEN cDNA 2210016F16 gene [Source:MGI Symbol;Acc:MGI:1917403]"	"2210016F16Rik"
"710"	"ENSMUSG00000021559"	"death associated protein kinase 1 [Source:MGI Symbol;Acc:MGI:1916885]"	"Dapk1"
"711"	"ENSMUSG00000021565"	"solute carrier family 6 (neurotransmitter transporter), member 19 [Source:MGI Symbol;Acc:MGI:1921588]"	"Slc6a19"
"712"	"ENSMUSG00000021569"	"thyroid hormone receptor interactor 13 [Source:MGI Symbol;Acc:MGI:1916966]"	"Trip13"
"713"	"ENSMUSG00000021577"	"succinate dehydrogenase complex, subunit A, flavoprotein (Fp) [Source:MGI Symbol;Acc:MGI:1914195]"	"Sdha"
"714"	"ENSMUSG00000021589"	"Rho-related BTB domain containing 3 [Source:MGI Symbol;Acc:MGI:1920546]"	"Rhobtb3"
"715"	"ENSMUSG00000021597"	"SMC5-SMC6 complex localization factor 1 [Source:MGI Symbol;Acc:MGI:2145448]"	"Slf1"
"716"	"ENSMUSG00000021613"	"hyaluronan and proteoglycan link protein 1 [Source:MGI Symbol;Acc:MGI:1337006]"	"Hapln1"
"717"	"ENSMUSG00000021636"	"MARVEL (membrane-associating) domain containing 2 [Source:MGI Symbol;Acc:MGI:2446166]"	"Marveld2"
"718"	"ENSMUSG00000021638"	"occludin [Source:MGI Symbol;Acc:MGI:106183]"	"Ocln"
"719"	"ENSMUSG00000021646"	"methylcrotonoyl-Coenzyme A carboxylase 2 (beta) [Source:MGI Symbol;Acc:MGI:1925288]"	"Mccc2"
"720"	"ENSMUSG00000021676"	"IQ motif containing GTPase activating protein 2 [Source:MGI Symbol;Acc:MGI:2449975]"	"Iqgap2"
"721"	"ENSMUSG00000021704"	"metaxin 3 [Source:MGI Symbol;Acc:MGI:2686040]"	"Mtx3"
"722"	"ENSMUSG00000021707"	"dihydrofolate reductase [Source:MGI Symbol;Acc:MGI:94890]"	"Dhfr"
"723"	"ENSMUSG00000021714"	"centromere protein K [Source:MGI Symbol;Acc:MGI:1926210]"	"Cenpk"
"724"	"ENSMUSG00000021715"	"CWC27 spliceosome-associated protein [Source:MGI Symbol;Acc:MGI:1914535]"	"Cwc27"
"725"	"ENSMUSG00000021748"	"pyruvate dehydrogenase (lipoamide) beta [Source:MGI Symbol;Acc:MGI:1915513]"	"Pdhb"
"726"	"ENSMUSG00000021751"	"acyl-Coenzyme A oxidase 2, branched chain [Source:MGI Symbol;Acc:MGI:1934852]"	"Acox2"
"727"	"ENSMUSG00000021752"	"potassium channel tetramerisation domain containing 6 [Source:MGI Symbol;Acc:MGI:1918643]"	"Kctd6"
"728"	"ENSMUSG00000021754"	"mitogen-activated protein kinase kinase kinase 1 [Source:MGI Symbol;Acc:MGI:1346872]"	"Map3k1"
"729"	"ENSMUSG00000021756"	"interleukin 6 signal transducer [Source:MGI Symbol;Acc:MGI:96560]"	"Il6st"
"730"	"ENSMUSG00000021763"	"chondroitin sulfate proteoglycan 4B [Source:MGI Symbol;Acc:MGI:3040697]"	"Cspg4b"
"731"	"ENSMUSG00000021771"	"voltage-dependent anion channel 2 [Source:MGI Symbol;Acc:MGI:106915]"	"Vdac2"
"732"	"ENSMUSG00000021795"	"surfactant associated protein D [Source:MGI Symbol;Acc:MGI:109515]"	"Sftpd"
"733"	"ENSMUSG00000021806"	"nidogen 2 [Source:MGI Symbol;Acc:MGI:1298229]"	"Nid2"
"734"	"ENSMUSG00000021809"	"nudix (nucleoside diphosphate linked moiety X)-type motif 13 [Source:MGI Symbol;Acc:MGI:1914975]"	"Nudt13"
"735"	"ENSMUSG00000021811"	"DnaJ heat shock protein family (Hsp40) member C9 [Source:MGI Symbol;Acc:MGI:1915326]"	"Dnajc9"
"736"	"ENSMUSG00000021816"	"protein phosphatase 3, catalytic subunit, beta isoform [Source:MGI Symbol;Acc:MGI:107163]"	"Ppp3cb"
"737"	"ENSMUSG00000021840"	"mitogen-activated protein kinase 1 interacting protein 1-like [Source:MGI Symbol;Acc:MGI:2444022]"	"Mapk1ip1l"
"738"	"ENSMUSG00000021850"	"coiled-coil domain containing 198 [Source:MGI Symbol;Acc:MGI:1914332]"	"ccdc198"
"739"	"ENSMUSG00000021850"	"coiled-coil domain containing 198 [Source:MGI Symbol;Acc:MGI:1914332]"	"Ccdc198"
"740"	"ENSMUSG00000021876"	"ribonuclease, RNase A family 4 [Source:MGI Symbol;Acc:MGI:1926217]"	"Rnase4"
"741"	"ENSMUSG00000021895"	"Rho guanine nucleotide exchange factor (GEF) 3 [Source:MGI Symbol;Acc:MGI:1918954]"	"Arhgef3"
"742"	"ENSMUSG00000021903"	"polypeptide N-acetylgalactosaminyltransferase 15 [Source:MGI Symbol;Acc:MGI:1926004]"	"Galnt15"
"743"	"ENSMUSG00000021928"	"emopamil binding protein-like [Source:MGI Symbol;Acc:MGI:1915427]"	"Ebpl"
"744"	"ENSMUSG00000021932"	"ribonuclease H2, subunit B [Source:MGI Symbol;Acc:MGI:1914403]"	"Rnaseh2b"
"745"	"ENSMUSG00000021938"	"paraspeckle protein 1 [Source:MGI Symbol;Acc:MGI:1913895]"	"Pspc1"
"746"	"ENSMUSG00000021950"	"annexin A8 [Source:MGI Symbol;Acc:MGI:1201374]"	"Anxa8"
"747"	"ENSMUSG00000021953"	"L-threonine dehydrogenase [Source:MGI Symbol;Acc:MGI:1926231]"	"Tdh"
"748"	"ENSMUSG00000021957"	"transketolase [Source:MGI Symbol;Acc:MGI:105992]"	"Tkt"
"749"	"ENSMUSG00000021965"	"spindle and kinetochore associated complex subunit 3 [Source:MGI Symbol;Acc:MGI:3041235]"	"Ska3"
"750"	"ENSMUSG00000021975"	"integrator complex subunit 9 [Source:MGI Symbol;Acc:MGI:1098533]"	"Ints9"
"751"	"ENSMUSG00000021978"	"exostosin-like glycosyltransferase 3 [Source:MGI Symbol;Acc:MGI:1860765]"	"Extl3"
"752"	"ENSMUSG00000021981"	"calcium binding protein 39-like [Source:MGI Symbol;Acc:MGI:1914081]"	"Cab39l"
"753"	"ENSMUSG00000021990"	"spermatogenesis associated 13 [Source:MGI Symbol;Acc:MGI:104838]"	"Spata13"
"754"	"ENSMUSG00000021993"	"mitochondrial intermediate peptidase [Source:MGI Symbol;Acc:MGI:1917728]"	"Mipep"
"755"	"ENSMUSG00000022016"	"A kinase (PRKA) anchor protein 11 [Source:MGI Symbol;Acc:MGI:2684060]"	"Akap11"
"756"	"ENSMUSG00000022021"	"diaphanous related formin 3 [Source:MGI Symbol;Acc:MGI:1927222]"	"Diaph3"
"757"	"ENSMUSG00000022031"	"elongator acetyltransferase complex subunit 3 [Source:MGI Symbol;Acc:MGI:1921445]"	"Elp3"
"758"	"ENSMUSG00000022033"	"PDZ binding kinase [Source:MGI Symbol;Acc:MGI:1289156]"	"Pbk"
"759"	"ENSMUSG00000022034"	"establishment of sister chromatid cohesion N-acetyltransferase 2 [Source:MGI Symbol;Acc:MGI:1919238]"	"Esco2"
"760"	"ENSMUSG00000022035"	"coiled-coil domain containing 25 [Source:MGI Symbol;Acc:MGI:1914429]"	"Ccdc25"
"761"	"ENSMUSG00000022037"	"clusterin [Source:MGI Symbol;Acc:MGI:88423]"	"Clu"
"762"	"ENSMUSG00000022051"	"BCL2/adenovirus E1B interacting protein 3-like [Source:MGI Symbol;Acc:MGI:1332659]"	"Bnip3l"
"763"	"ENSMUSG00000022070"	"bora, aurora kinase A activator [Source:MGI Symbol;Acc:MGI:1924994]"	"Bora"
"764"	"ENSMUSG00000022091"	"sorbin and SH3 domain containing 3 [Source:MGI Symbol;Acc:MGI:700013]"	"Sorbs3"
"765"	"ENSMUSG00000022095"	"FHF complex subunit HOOK interacting protein 2B [Source:MGI Symbol;Acc:MGI:3036290]"	"Fhip2b"
"766"	"ENSMUSG00000022100"	"exportin 7 [Source:MGI Symbol;Acc:MGI:1929705]"	"Xpo7"
"767"	"ENSMUSG00000022105"	"RB transcriptional corepressor 1 [Source:MGI Symbol;Acc:MGI:97874]"	"Rb1"
"768"	"ENSMUSG00000022106"	"regulator of chromosome condensation (RCC1) and BTB (POZ) domain containing protein 2 [Source:MGI Symbol;Acc:MGI:1917200]"	"Rcbtb2"
"769"	"ENSMUSG00000022108"	"integral membrane protein 2B [Source:MGI Symbol;Acc:MGI:1309517]"	"Itm2b"
"770"	"ENSMUSG00000022111"	"ubiquitin carboxyl-terminal esterase L3 (ubiquitin thiolesterase) [Source:MGI Symbol;Acc:MGI:1355274]"	"Uchl3"
"771"	"ENSMUSG00000022114"	"sprouty RTK signaling antagonist 2 [Source:MGI Symbol;Acc:MGI:1345138]"	"Spry2"
"772"	"ENSMUSG00000022119"	"RNA binding motif protein 26 [Source:MGI Symbol;Acc:MGI:1921463]"	"Rbm26"
"773"	"ENSMUSG00000022120"	"ORC ubiquitin ligase 1 [Source:MGI Symbol;Acc:MGI:1919736]"	"Obi1"
"774"	"ENSMUSG00000022123"	"sciellin [Source:MGI Symbol;Acc:MGI:1891228]"	"Scel"
"775"	"ENSMUSG00000022124"	"F-box and leucine-rich repeat protein 3 [Source:MGI Symbol;Acc:MGI:1354702]"	"Fbxl3"
"776"	"ENSMUSG00000022139"	"muscleblind like splicing factor 2 [Source:MGI Symbol;Acc:MGI:2145597]"	"Mbnl2"
"777"	"ENSMUSG00000022146"	"oncostatin M receptor [Source:MGI Symbol;Acc:MGI:1330819]"	"Osmr"
"778"	"ENSMUSG00000022149"	"complement component 9 [Source:MGI Symbol;Acc:MGI:1098282]"	"C9"
